"time" "coef" "e.time" "e.coef"
672 0.11 823.49 0.03
672 0.18 700.83 0.01
674 0.04 821.34 0.03
674 0.18 706.15 0.15
675 0.13 767.15 0.02
675 0.1 759.99 0.03
676 0.17 674.89 0.05
677 0.15 689.74 0.08
677 0.17 676.04 0.03
678 0.15 711.935 0.02
678 0.1 818.36 0.03
679 0.18 775.53 0.06
681 0.15 707.26 0.06
682 0.12 796.82 0.08
682 0.13 738.63 0.06
682 0.16 748.065 0.08
686 0.06 696.33 0.05
686 0.15 837.12 0.03
690 0.16 560.31 0.07
693 0.16 725.03 0.05
694 0.06 740.57 0.01
696 0.07 873.16 0.04
696 0.08 767.19 0.04
697 0.08 723.96 0.09
699 0.17 701.09 0.12
700 0.05 870.09 0.2
700 0.17 798.27 0.11
702 0.14 886.25 0.055
702 0.16 621.075 0.06
703 0.18 767.15 0.06
706 0.08 663.07 0.11
707 0.17 844.66 0.07
708 0.18 802.66 0.17
710 0.14 724.57 0.1
714 0.04 870.4 0.05
715 0.12 853.3 0.12
716 0.18 711.62 0.04
722 0.1 714.28 0.09
726 0.17 843.24 0.05
729 0.1 773.4 0.03
730 0.11 773.89 0.03
732 0.12 792.44 0.06
733 0.15 723.6 0.09
737 0.07 779.56 0.01
743 0.09 759.185 0.03
745 0.09 856.89 0.05
747 0.04 762.58 0.05
749 0.08 642.69 0.04
749 0.2 727.745 0.04
751 0.16 715.54 0.03
760 0.15 632.135 0.05
762 0.2 774.12 0.03
765 0.15 723.95 0.05
768 0.19 919.325 0.05
769 0.16 985.575 0.02
771 0.06 665.52 0.04
771 0.1 1032.82 0.09
774 0.08 829.96 0.04
775 0.05 883.09 0.01
779 0.05 914.875 0.13
782 0.06 851.59 0.04
782 0.08 835.58 0.04
783 0.16 809.485 0.06
783 0.17 847.18 0.03
783 0.1 807.17 0.05
784 0.16 761.19 0.02
784 0.19 874.895 1.18
785 0.2 762.51 0.04
786 0.18 878.32 0.07
788 0.08 765.645 0.05
793 0.1 952.785 0.035
794 0.06 766.69 0.04
794 0.13 847.43 0.05
794 0.19 786.9 0.065
795 0.17 895.29 0.04
796 0.19 691.15 0.08
798 0.08 719.48 0.04
799 0.12 867.56 0.04
800 0.06 766.565 0.02
800 0.1 851.04 0.06
801 0.07 796.41 0.02
802 0.08 1015.52 0.02
802 0.12 800.77 0.065
803 0.06 837.85 0.03
805 0.14 844.97 1.7
807 0.07 776.75 0.07
808 0.2 720.9 0.03
809 0.04 784.31 0.08
810 0.18 876.03 0.045
815 0.19 989.17 0.06
816 0.16 914.48 0.08
817 0.19 834.56 0.07
819 0.06 808.27 0.05
819 0.15 834.07 0.03
819 0.2 838.27 0.06
820 0.19 758.96 0.000344000481489893
822 0.08 779.24 0.18
824 0.1 821.45 0.14
827 0.14 645.77 0.07
829 0.08 814.99 0.04
829 0.1 701.12 0.08
830 0.17 713.96 0.03
831 0.11 804.42 0.015
831 0.14 849.75 0.14
832 0.1 907.11 0.0030631699743918
839 0.08 906.305 0.04
839 0.1 785.61 0.03
840 0.16 867.125 0.04
843 0.09 1006.08 0.02
844 0.07 718.91 0.04
844 0.14 797.95 0.02
847 0.12 897.88 0.13
848 0.15 838.64 0.02
849 0.14 799.7 0.03
851 0.09 933.34 0.05
852 0.13 742.19 0.05
852 0.15 943.82 0.01
855 0.14 737.92 0.05
855 0.16 739.54 0.05
855 0.19 975.56 0.00419702030124427
857 0.2 790.91 0.05
858 0.2 837.54 0.04
865 0.04 867.56 0.01
870 0.17 881.88 0.085
874 0.13 879.87 0.02
875 0.07 906.35 0.07
877 0.1 741.245 0.04
879 0.05 810.36 0.04
879 0.15 888.58 0.03
883 0.18 861.915 0.08
885 0.09 944.32 0.04
888 0.09 962.52 0.04
