"time" "coef" "e.time" "e.coef"
1564 0.05 1188.68 0.08
1564 0.13 1818.78 0.04
1565 0.02 1421.17 0.03
1567 0.09 1412.58 0.04
1567 0.18 1377.84 0.03
1568 0.17 1198.905 0.08
1569 0.04 1532.13 0.02
1574 0.13 1506.05 0.02
1574 0.16 1902.92 0.03
1574 0.2 1128.99 0.04
1575 0.06 1314.29 0.06
1577 0.04 1556.765 0.04
1580 0.02 1399.75 0.04
1581 0.19 1233.2 0.05
1582 0.02 1538.8 0.03
1583 0.13 1367.77 0.04
1586 0.18 1479.54 0.05
1586 0.19 1186.13 0.07
1588 0.03 1626.815 0.02
1588 0.14 1658.4 0.04
1589 0.13 1238.96 0.03
1589 0.16 1323.85 0.03
1592 0.07 1473.1 0.03
1594 0.03 1273.52 0.055
1595 0.09 1338.66 0.04
1598 0.08 1312.17 0.03
1598 0.14 1429.19 0.04
1599 0.03 1320.56 0.04
1600 0.18 1542.085 0.05
1601 0.13 1522.08 0.09
1601 0.19 1315.63 0.06
1605 0.05 1782.02 0.03
1605 0.17 1398.65 0.04
1606 0.05 1672.33 0.03
1607 0.14 1252.13 0.04
1609 0.02 1417.93 0.04
1609 0.07 2009.74 0.03
1610 0.06 1438.03 0.04
1610 0.11 1408.54 0.04
1613 0.02 1129.99 0.03
1613 0.16 1059.6 0.03
1616 0.11 1453.74 0.03
1617 0.05 1614.255 0.045
1623 0.08 1456.87 0.04
1623 0.1 1469.89 0.03
1624 0.06 1455.935 0.03
1626 0.07 1638.4 0.02
1626 0.12 1797.3 0.03
1627 0.05 1342.665 0.03
1627 0.11 1142.84 0.04
1627 0.2 1338.57 0.07
1628 0.05 1501.48 0.05
1629 0.08 1377.06 0.05
1629 0.17 1425.185 0.02
1630 0.17 1445.31 0.04
1630 0.1 1427.59 0.06
1632 0.06 1344.6 0.03
1633 0.09 1334.26 0.04
1637 0.15 1358.65 0.03
1639 0.03 1342.72 0.04
1639 0.16 1364.13 0.04
1640 0.06 1534.85 0.04
1642 0.03 1199.04 0.03
1642 0.07 1667.91 0.03
1643 0.06 1591.06 0.04
1643 0.08 1444.91 0.03
1644 0.14 1814.71 0.09
1644 0.16 1903.59 0.04
1646 0.15 1529.5 0.05
1646 0.17 1430.9 0.06
1647 0.15 1368.58 0.05
1647 0.17 1318.58 0.03
1647 0.2 1292.55 0.05
1651 0.02 1458.95 0.02
1651 0.06 1455.99 0.02
1651 0.12 1458.22 0.045
1651 0.18 1277.45 0.05
1652 0.04 1386.36 0.025
1653 0.17 1463 0.03
1654 0.18 1315.345 0.04
1660 0.2 1371.12 0.03
1662 0.08 1436.44 0.04
1662 0.2 2720.85 0.03
1664 0.04 1307.06 0.01
1664 0.09 1257.31 0.03
1664 0.14 1716.58 0.03
1665 0.05 1449.74 0.05
1666 0.05 1483.42 0.02
1668 0.16 1469.93 0.05
1677 0.06 1365.97 0.03
1683 0.02 1325.33 0.02
1683 0.13 1770.41 0.03
1685 0.05 1594.71 0.03
1687 0.08 1576.625 0.03
1691 0.17 1375.15 0.03
1695 0.17 1299.33 0.03
1696 0.02 1260.68 0.02
1696 0.04 1522.04 0.03
1696 0.11 1348.71 0.04
1697 0.12 2234.01 0.06
1697 0.13 1300.86 0.03
1697 0.14 1463.385 0.04
1697 0.1 1593.88 0.03
1700 0.04 1714.18 0.02
1700 0.13 1387.03 0.03
1701 0.14 1876.51 0.03
1702 0.08 1428.97 0.025
1703 0.18 1441.24 0.03
1705 0.17 1393.46 0.04
1706 0.04 1713.78 0.0111617018450185
1706 0.16 1464.28 0.06
1706 0.17 1472.81 0.04
1708 0.02 1406.1 0.02
1708 0.17 2421.905 0.03
1708 0.2 1321.55 0.03
1709 0.14 1697.765 0.02
1711 0.07 1284.07 0.02
1713 0.12 1306.23 0.05
1714 0.12 1337.08 0.03
1715 0.17 1929.55 0.04
1716 0.08 1254.47 0.04
1717 0.1 1440.945 0.03
1719 0.04 1423.58 0.03
1720 0.11 1322.92 0.07
1721 0.16 1677.75 0.05
1722 0.04 1496.53 0.02
1722 0.19 1408.67 0.03
1723 0.12 1253.075 0.04
1728 0.11 1374.85 0.04
1729 0.03 1328.8 0.04
1729 0.07 1229.25 0.03
1731 0.03 1646.8 0.02
1731 0.1 601.47 0.02
1733 0.11 1275.71 0.02
1734 0.03 1685.55 0.02
1734 0.13 1486.66 0.04
1737 0.05 1550.49 0.04
1737 0.16 1506.49 0.04
1738 0.03 1728.285 0.035
1738 0.11 1674.655 0.02
1739 0.06 1490.75 0.04
1746 0.2 1359.99 0.04
1747 0.02 1545.9 0.03
1748 0.13 1376.25 0.03
1748 0.2 2174.295 0.03
1751 0.17 1474.515 0.02
1755 0.02 1288.25 0.02
1755 0.06 1656.405 0.03
1757 0.2 1381.915 0.04
1761 0.08 1676.77 0.03
1761 0.13 1315.44 0.04
1762 0.18 1628.78 0.04
1763 0.08 1339.86 0.03
1764 0.19 1431.61 0.03
1764 0.2 1418.845 0.04
1765 0.15 1286.03 0.05
1767 0.19 1443.7 0.02
1768 0.06 1580.51 0.02
1768 0.09 1420.5 0.05
1768 0.1 1483.95 0.02
1770 0.07 1497.47 0.04
1770 0.19 1259.355 0.02
1771 0.16 1348.125 0.06
1775 0.04 1676.06 0.02
1778 0.07 1470.78 0.03
1778 0.15 1450.43 0.04
1778 0.17 1493.415 0.02
1783 0.11 1757.73 0.03
1783 0.2 1514.865 0.02
1785 0.09 1515.93 0.04
1785 0.11 1512.04 0.04
1785 0.1 1475.19 0.03
1788 0.02 1053.62 0.03
1789 0.07 1689.96 0.03
1795 0.02 1594.38 0.01
1799 0.06 1676.28 0.03
1803 0.1 1697.86 0.05
1804 0.05 1444.71 0.02
1804 0.2 1342.76 0.02
1805 0.19 1254.93 0.02
1809 0.06 1730.2 0.01
1809 0.13 1298.32 0.06
1810 0.19 1387.39 0.04
1811 0.16 1425.12 0.04
1811 0.19 1493.3 0.03
1812 0.14 1256.29 0.03
1814 0.06 1646.16 0.02
1814 0.15 1663.32 0.04
1814 0.19 1361.26 0.03
1814 0.2 1299.03 0.04
1818 0.03 1694.65 0.02
1818 0.06 1711.85 0.03
1819 0.05 1517.99 0.02
1820 0.13 1511.88 0.02
1822 0.11 1522.35 0.03
1822 0.14 1516.77 0.05
1822 0.2 1743.9 0.02
1824 0.1 1729.37 0.06
1826 0.02 591.63 0.02
1826 0.1 1316.47 0.03
1827 0.18 1374.865 0.06
1828 0.19 1390.38 0.04
1829 0.12 1762.58 0.03
1832 0.11 1496.27 0.02
1835 0.07 1696.02 0.015
1835 0.12 1507.64 0.02
1835 0.1 1306.7 0.02
1838 0.05 1572.64 0.03
1839 0.16 1459.48 0.03
1840 0.16 1714.95 0.02
1843 0.09 1595.15 0.02
1844 0.02 1424.32 0.02
1846 0.07 1838.76 0.03
1846 0.16 1425.09 0.03
1848 0.19 1490.545 0.04
1852 0.12 1752.3 0.02
1853 0.19 1260.805 0.02
1854 0.19 1522.81 0.04
1856 0.18 1528.67 0.03
1858 0.02 1433.42 0.02
1860 0.03 1707.71 0.02
1861 0.02 1756.435 0.02
1861 0.08 1415.315 0.04
1862 0.06 1830.205 0.02
1862 0.08 1261.33 0.02
1862 0.13 1701.64 0.04
1864 0.14 1798.32 0.03
1865 0.2 1519.83 0.03
1867 0.15 736.17 0.02
1868 0.06 1781.89 0.02
1868 0.07 1867.96 0.03
1868 0.08 1413.56 0.02
1869 0.17 1480.87 0.04
1871 0.09 1412.26 0.02
1874 0.04 1567.63 0.02
1874 0.08 1393.57 0.04
1875 0.19 2165.05 0.08
1876 0.06 687.06 0.02
1879 0.09 1611.7 0.02
1879 0.19 1639.62 0.02
1881 0.17 1630.695 0.03
1882 0.07 1816 0.02
1884 0.08 1507.65 0.02
1884 0.12 1574.52 0.03
1886 0.05 1620.72 0.045
1888 0.13 1892.06 0.02
1888 0.1 2086.935 0.03
1889 0.12 1871.71 0.04
1890 0.11 1712.76 0.04
1890 0.15 1398.43 0.03
1891 0.03 1675.76 0.03
1892 0.05 1395.76 0.02
1894 0.2 1361.845 0.02
1896 0.09 1459.37 0.035
1896 0.14 1957.38 0.04
1898 0.03 1828.35 0.02
1898 0.06 1661.975 0.01
1899 0.18 1642.59 0.09
1901 0.1 1589.46 0.02
1905 0.02 657.59 0.01
1905 0.17 1675.93 0.04
1908 0.14 2125.56 0.02
1908 0.1 1572.61 0.02
1910 0.11 1477.58 0.03
1912 0.02 1517.265 0.01
1912 0.14 1475.26 0.02
1912 0.19 1578.44 0.05
1913 0.08 1503.19 0.02
1913 0.13 1375.45 0.03
1916 0.11 1435.1 0.03
1918 0.04 1593.15 0.03
1918 0.16 1341.09 0.03
1919 0.12 1367.595 0.04
1920 0.12 1634.73 0.02
1922 0.17 1501.65 0.05
1923 0.1 1395.64 0.03
1929 0.05 1399.1 0.02
1929 0.11 1770.25 0.03
1931 0.06 1191.79 0.02
1932 0.1 1967.32 0.02
1933 0.04 1749.54 0.02
1933 0.19 1468.3 0.04
1937 0.09 1694.79 0.03
1938 0.02 1247.48 0.01
1938 0.2 1387.9 0.02
1939 0.15 1490.035 0.01
1941 0.05 1538.37 0.04
1943 0.15 1507.74 0.07
1943 0.19 1418.37 0.02
1945 0.08 1373.78 0.05
1945 0.14 1367.55 0.03
1948 0.07 1732.36 0.02
1950 0.15 1807.62 0.04
1951 0.08 1656.69 0.04
1952 0.16 1621.27 0.03
1953 0.03 1583.63 0.01
1953 0.09 1587.65 0.02
1955 0.07 1457.43 0.01
1956 0.03 1597.02 0.02
1957 0.05 1607.26 0.03
1963 0.03 1707.54 0.03
1965 0.05 1464.8 0.02
1965 0.18 1542.84 0.02
1966 0.11 1867.17 0.03
1968 0.03 1653.02 0.02
1970 0.06 1624.85 0.03
1971 0.03 1160.18 0.02
1971 0.18 1502.78 0.05
1974 0.09 1697.49 0.03
1975 0.14 2090.73 0.03
1976 0.03 1653 0.02
1976 0.07 1450.63 0.03
1979 0.02 1591.36 0.02
1979 0.19 1721.28 0.03
1981 0.15 1705.05 0.03
1982 0.16 1482.47 0.04
1983 0.1 1522.14 0.02
1984 0.1 1703.61 0.03
1985 0.02 1504.13 0.01
1985 0.06 1706.89 0.02
1986 0.13 1670.43 0.02
1989 0.12 1653.98 0.05
1989 0.17 1834.55 0.03
1990 0.15 1418.97 0.02
1990 0.19 1679.28 0.03
1994 0.17 1510.58 0.02
1995 0.12 1472.18 0.02
1996 0.11 1699.3 0.035
1997 0.03 1545.94 0.02
1998 0.04 2254.595 0.02
1998 0.14 1667.99 0.01
1999 0.03 1617.27 0.02
2000 0.06 1739.33 0.03
2000 0.07 1594.62 0.02
2001 0.12 1374.61 0.02
2002 0.17 1951.555 0.02
2003 0.2 1745.66 0.04
2006 0.03 1996.12 0.01
2007 0.07 1737.97 0.01
2010 0.05 1760.9 0.02
2011 0.05 1404.97 0.02
2012 0.16 1571.51 0.04
2013 0.06 1295.27 0.06
2013 0.12 1698.44 0.04
2014 0.05 1553.44 0.02
2015 0.2 1551.82 0.05
2016 0.02 1041.26 0.02
2017 0.03 1451.6 0.01
2017 0.07 1692.24 0.01
2017 0.16 1736.175 0.02
2018 0.06 1849.19 0.02
2020 0.2 1705.53 0.05
2021 0.14 1731.32 0.03
2022 0.1 1501.8 0.02
2024 0.04 2049.69 0.02
2025 0.05 1395.61 0.03
2028 0.2 1638.79 0.05
2033 0.19 1712.13 0.04
2034 0.15 1755.03 0.04
2034 0.1 1483.24 0.04
2038 0.12 1810.12 0.03
2038 0.19 1545.69 0.03
2044 0.14 1804.17 0.04
2045 0.06 1317.825 0.02
2045 0.16 1588.71 0.03
2048 0.08 1515.34 0.01
2048 0.12 1673.86 0.02
2048 0.17 1686.545 0.02
2048 0.18 1585.73 0.05
2049 0.02 1673.44 0.03
2049 0.16 1522.485 0.03
2049 0.18 1486.565 0.03
2049 0.1 1653.265 0.03
2049 0.2 1537.68 0.05
